Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
mtd_ai,200,0.005072696439540174,0.24193548387096775,2395.6360547254903,0.05,150,5,0.16277777777777777,0.54985190774519,2.128009350619972,0.0
mtd_ai,200,0.005072696439540174,0.28846153846153844,3625.7346295568677,0.1,150,5,0.16277777777777777,0.54985190774519,2.128009350619972,0.0
mtd_ai,200,0.005072696439540174,0.32608695652173914,4743.521767380364,0.15,150,5,0.16277777777777777,0.54985190774519,2.128009350619972,0.0
mtd_ai,200,0.005072696439540174,0.37037037037037035,5327.268983510154,0.2,150,5,0.16277777777777777,0.54985190774519,2.128009350619972,0.0
mtd_ai,200,0.005072696439540174,0.39893617021276595,6020.27064194581,0.25,150,5,0.16277777777777777,0.54985190774519,2.128009350619972,0.0
mtd_ai,200,0.005074630075024791,0.3125,2779.726159444621,0.05,150,5,0.11111111111111109,1.0307414278975762,3.458982278784307,0.0
mtd_ai,200,0.005074630075024791,0.39473684210526316,4193.790179491461,0.1,150,5,0.11111111111111109,1.0307414278975762,3.458982278784307,0.0
mtd_ai,200,0.005074630075024791,0.4326923076923077,5313.014465772075,0.15,150,5,0.11111111111111109,1.0307414278975762,3.458982278784307,0.0
mtd_ai,200,0.005074630075024791,0.4838709677419355,5741.085266586229,0.2,150,5,0.11111111111111109,1.0307414278975762,3.458982278784307,0.0
mtd_ai,200,0.005074630075024791,0.5357142857142857,5999.0553530540255,0.25,150,5,0.11111111111111109,1.0307414278975762,3.458982278784307,0.0
mtd_ai,200,0.0050657049235095074,0.32608695652173914,2372.3324739355876,0.05,150,5,0.12222222222222223,0.3968225115956985,1.6573129970989977,0.0
mtd_ai,200,0.0050657049235095074,0.3409090909090909,4163.532316033003,0.1,150,5,0.12222222222222223,0.3968225115956985,1.6573129970989977,0.0
mtd_ai,200,0.0050657049235095074,0.39473684210526316,5106.285802269422,0.15,150,5,0.12222222222222223,0.3968225115956985,1.6573129970989977,0.0
mtd_ai,200,0.0050657049235095074,0.43478260869565216,5685.656707674661,0.2,150,5,0.12222222222222223,0.3968225115956985,1.6573129970989977,0.0
mtd_ai,200,0.0050657049235095074,0.4807692307692308,6017.322627739037,0.25,150,5,0.12222222222222223,0.3968225115956985,1.6573129970989977,0.0
mtd_ai,200,0.0050411501842591196,0.26785714285714285,2657.5930766895267,0.05,150,5,0.10333333333333333,1.8936665413693856,1.5274012637782606,0.0
mtd_ai,200,0.0050411501842591196,0.36585365853658536,3780.853908988744,0.1,150,5,0.10333333333333333,1.8936665413693856,1.5274012637782606,0.0
mtd_ai,200,0.0050411501842591196,0.4411764705882353,4264.566102887111,0.15,150,5,0.10333333333333333,1.8936665413693856,1.5274012637782606,0.0
mtd_ai,200,0.0050411501842591196,0.4411764705882353,4993.253048468516,0.2,150,5,0.10333333333333333,1.8936665413693856,1.5274012637782606,0.0
mtd_ai,200,0.0050411501842591196,0.47468354430379744,5578.535189203543,0.25,150,5,0.10333333333333333,1.8936665413693856,1.5274012637782606,0.0
mtd_ai,200,0.0050741298518957555,0.28846153846153844,2498.375495762445,0.05,150,5,0.12333333333333334,12.015433080490302,6.272764250013095,0.0
mtd_ai,200,0.0050741298518957555,0.36585365853658536,3658.672674682626,0.1,150,5,0.12333333333333334,12.015433080490302,6.272764250013095,0.0
mtd_ai,200,0.0050741298518957555,0.3515625,5089.693761324247,0.15,150,5,0.12333333333333334,12.015433080490302,6.272764250013095,0.0
mtd_ai,200,0.0050741298518957555,0.4,5537.507412001217,0.2,150,5,0.12333333333333334,12.015433080490302,6.272764250013095,0.0
mtd_ai,200,0.0050741298518957555,0.44642857142857145,5934.950128567938,0.25,150,5,0.12333333333333334,12.015433080490302,6.272764250013095,0.0
mtd_ai,200,0.005069194244281941,0.2777777777777778,3101.3650569712736,0.05,150,5,0.16277777777777777,0.05333862163080911,0.22928204821513506,0.0
mtd_ai,200,0.005069194244281941,0.3409090909090909,4212.292156914442,0.1,150,5,0.16277777777777777,0.05333862163080911,0.22928204821513506,0.0
mtd_ai,200,0.005069194244281941,0.4017857142857143,5299.318993249011,0.15,150,5,0.16277777777777777,0.05333862163080911,0.22928204821513506,0.0
mtd_ai,200,0.005069194244281941,0.43478260869565216,6070.75643366616,0.2,150,5,0.16277777777777777,0.05333862163080911,0.22928204821513506,0.0
mtd_ai,200,0.005069194244281941,0.46875,6623.7750322811535,0.25,150,5,0.16277777777777777,0.05333862163080911,0.22928204821513506,0.0
mtd_ai,200,0.0050474684719823215,0.3409090909090909,2257.0255067694998,0.05,150,5,0.18333333333333332,0.7233355445019158,2.1799939275955755,0.0
mtd_ai,200,0.0050474684719823215,0.42857142857142855,2951.8207910918527,0.1,150,5,0.18333333333333332,0.7233355445019158,2.1799939275955755,0.0
mtd_ai,200,0.0050474684719823215,0.4787234042553192,3561.5894211461045,0.15,150,5,0.18333333333333332,0.7233355445019158,2.1799939275955755,0.0
mtd_ai,200,0.0050474684719823215,0.5084745762711864,4170.341740079091,0.2,150,5,0.18333333333333332,0.7233355445019158,2.1799939275955755,0.0
