Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
mtd_ai,200,0.005073842276128954,0.3125,1997.4724830491857,0.05,150,5,0.17472222222222225,3.14863283943464,4.961442390152603,0.0
mtd_ai,200,0.005073842276128954,0.38461538461538464,3162.518086911651,0.1,150,5,0.17472222222222225,3.14863283943464,4.961442390152603,0.0
mtd_ai,200,0.005073842276128954,0.45918367346938777,4050.4822077553827,0.15,150,5,0.17472222222222225,3.14863283943464,4.961442390152603,0.0
mtd_ai,200,0.005073842276128954,0.47619047619047616,5199.202917549774,0.2,150,5,0.17472222222222225,3.14863283943464,4.961442390152603,0.0
mtd_ai,200,0.005073842276128954,0.5136986301369864,5714.484617860449,0.25,150,5,0.17472222222222225,3.14863283943464,4.961442390152603,0.0
mtd_ai,200,0.005048422833833507,0.2777777777777778,1703.5543273482142,0.05,150,5,0.19811111111111115,0.20896166670368302,0.7644217113773925,0.0
mtd_ai,200,0.005048422833833507,0.32608695652173914,3009.443114305788,0.1,150,5,0.19811111111111115,0.20896166670368302,0.7644217113773925,0.0
mtd_ai,200,0.005048422833833507,0.3813559322033898,4007.75500380019,0.15,150,5,0.19811111111111115,0.20896166670368302,0.7644217113773925,0.0
mtd_ai,200,0.005048422833833507,0.410958904109589,4887.078096424091,0.2,150,5,0.19811111111111115,0.20896166670368302,0.7644217113773925,0.0
mtd_ai,200,0.005048422833833507,0.44642857142857145,5346.444465478513,0.25,150,5,0.19811111111111115,0.20896166670368302,0.7644217113773925,0.0
mtd_ai,200,0.005035928626113057,0.375,2244.7060276872935,0.05,150,5,0.18833333333333338,2.7042167796991943,5.016502835602317,0.0
mtd_ai,200,0.005035928626113057,0.42857142857142855,3110.2412647945503,0.1,150,5,0.18833333333333338,2.7042167796991943,5.016502835602317,0.0
mtd_ai,200,0.005035928626113057,0.4787234042553192,3769.4011264060646,0.15,150,5,0.18833333333333338,2.7042167796991943,5.016502835602317,0.0
mtd_ai,200,0.005035928626113057,0.4918032786885246,5028.5620349195815,0.2,150,5,0.18833333333333338,2.7042167796991943,5.016502835602317,0.0
mtd_ai,200,0.005035928626113057,0.5067567567567568,5547.818117638368,0.25,150,5,0.18833333333333338,2.7042167796991943,5.016502835602317,0.0
mtd_ai,200,0.00506731158246813,0.32608695652173914,2481.3696288750907,0.05,150,5,0.137,0.25232596153786135,0.9096677026981316,0.0
mtd_ai,200,0.00506731158246813,0.3333333333333333,4090.043982164791,0.1,150,5,0.137,0.25232596153786135,0.9096677026981316,0.0
mtd_ai,200,0.00506731158246813,0.36885245901639346,5065.135381167023,0.15,150,5,0.137,0.25232596153786135,0.9096677026981316,0.0
mtd_ai,200,0.00506731158246813,0.39473684210526316,6138.575722984731,0.2,150,5,0.137,0.25232596153786135,0.9096677026981316,0.0
