Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size
NoMTD,100,0,0.5,734.3093787856948,0.1,25
NoMTD,100,0,0.5555555555555556,1168.936595533909,0.2,25
NoMTD,100,0,0.625,1444.3136338473605,0.3,25
NoMTD,100,0,0.6666666666666666,1569.582986903864,0.4,25
NoMTD,100,0,0.7352941176470589,1865.3932156542023,0.5,25
NoMTD,100,0,0.75,2049.50763980341,0.6,25
NoMTD,100,0,0.7954545454545454,2099.50763980341,0.7,25
NoMTD,100,0,0.8,2382.1030757428707,0.8,25
NoMTD,100,0,0.45454545454545453,1475.6042566681813,0.1,50
NoMTD,100,0,0.625,1863.7368674590941,0.2,50
NoMTD,100,0,0.6818181818181818,2291.6255608781325,0.3,50
NoMTD,100,0,0.7142857142857143,2855.6628777755004,0.4,50
NoMTD,100,0,0.7352941176470589,3666.386930644486,0.5,50
NoMTD,100,0,0.7692307692307693,4211.004866967252,0.6,50
NoMTD,100,0,0.7954545454545454,4549.568734055913,0.7,50
NoMTD,100,0,0.8,5085.06119633634,0.8,50
NoMTD,100,0,0.75,1527.518953805671,0.1,75
NoMTD,100,0,0.75,2402.021280114111,0.2,75
NoMTD,100,0,0.7758620689655172,3168.2207643749834,0.3,75
NoMTD,100,0,0.8108108108108109,3868.6139563315,0.4,75
NoMTD,100,0,0.8333333333333334,4707.419942796426,0.5,75
NoMTD,100,0,0.8035714285714286,5794.868785823509,0.6,75
NoMTD,100,0,0.8076923076923077,6419.271915369351,0.7,75
NoMTD,100,0,0.8108108108108109,6707.001395144966,0.8,75
NoMTD,100,0,0.7692307692307693,1907.3777907412673,0.1,100
NoMTD,100,0,0.8695652173913043,3039.7606388755253,0.2,100
NoMTD,100,0,0.9090909090909091,4177.431593296257,0.3,100
NoMTD,100,0,0.9090909090909091,4876.886164593496,0.4,100
NoMTD,100,0,0.8928571428571429,5369.395448975393,0.5,100
NoMTD,100,0,0.8823529411764706,5942.744458779298,0.6,100
NoMTD,100,0,0.8641975308641975,6555.250187648839,0.7,100
NoMTD,100,0,0.8791208791208791,6845.499198722047,0.8,100
NoMTD,200,0,0.625,627.9429786801531,0.1,25
NoMTD,200,0,0.625,1208.9217271788211,0.2,25
NoMTD,200,0,0.75,1669.9137775319405,0.3,25
NoMTD,200,0,0.7692307692307693,1878.2779619085022,0.4,25
NoMTD,200,0,0.8333333333333334,1928.2779619085022,0.5,25
NoMTD,200,0,0.8333333333333334,2024.6301828799092,0.6,25
NoMTD,200,0,0.875,2155.916791675515,0.7,25
NoMTD,200,0,0.8695652173913043,2462.914944088163,0.8,25
NoMTD,200,0,0.5,1711.0861210880844,0.1,50
NoMTD,200,0,0.5882352941176471,2528.518247239042,0.2,50
NoMTD,200,0,0.6818181818181818,2917.243484191208,0.3,50
NoMTD,200,0,0.7142857142857143,3315.0744142205,0.4,50
NoMTD,200,0,0.7142857142857143,3711.9484387793727,0.5,50
NoMTD,200,0,0.75,4297.329272028955,0.6,50
NoMTD,200,0,0.7608695652173914,4830.370406518737,0.7,50
NoMTD,200,0,0.7843137254901961,5150.142030211616,0.8,50
NoMTD,200,0,0.625,1293.377838561146,0.1,75
NoMTD,200,0,0.6818181818181818,2263.5706540317265,0.2,75
NoMTD,200,0,0.75,3178.0852743356522,0.3,75
NoMTD,200,0,0.7894736842105263,3870.6109877302215,0.4,75
NoMTD,200,0,0.8152173913043478,4216.114728007836,0.5,75
NoMTD,200,0,0.7627118644067796,5388.898375563482,0.6,75
NoMTD,200,0,0.7835820895522388,6040.73368289011,0.7,75
NoMTD,200,0,0.7792207792207793,6606.931753765384,0.8,75
NoMTD,200,0,0.7692307692307693,1695.7740831164435,0.1,100
NoMTD,200,0,0.8333333333333334,3189.650211124924,0.2,100
NoMTD,200,0,0.8108108108108109,4203.402193742386,0.3,100
NoMTD,200,0,0.851063829787234,4970.829468274918,0.4,100
NoMTD,200,0,0.8771929824561403,5417.50796156692,0.5,100
NoMTD,200,0,0.8823529411764706,5899.427792499079,0.6,100
NoMTD,200,0,0.8974358974358975,6408.228985390753,0.7,100
NoMTD,200,0,0.898876404494382,6869.763172951121,0.8,100
NoMTD,100,0,0.625,595.2476107849869,0.1,25
NoMTD,100,0,0.625,1218.795203635242,0.2,25
NoMTD,100,0,0.75,1348.294213369095,0.3,25
NoMTD,100,0,0.7692307692307693,1629.4838593631187,0.4,25
NoMTD,100,0,0.78125,1781.456738719677,0.5,25
NoMTD,100,0,0.7894736842105263,1917.1589677592206,0.6,25
NoMTD,100,0,0.8333333333333334,2200.5210202248036,0.7,25
NoMTD,100,0,0.8333333333333334,2487.3343337396245,0.8,25
NoMTD,100,0,0.45454545454545453,1518.3647396427355,0.1,50
NoMTD,100,0,0.5882352941176471,2135.9047233465985,0.2,50
NoMTD,100,0,0.625,2764.9299486904138,0.3,50
NoMTD,100,0,0.6896551724137931,3404.764111912222,0.4,50
NoMTD,100,0,0.6944444444444444,3798.1341309766017,0.5,50
NoMTD,100,0,0.7317073170731707,4213.551091602667,0.6,50
NoMTD,100,0,0.7608695652173914,4581.4978943977,0.7,50
NoMTD,100,0,0.7843137254901961,4920.150517951419,0.8,50
NoMTD,100,0,0.6818181818181818,1480.3763506034545,0.1,75
NoMTD,100,0,0.7894736842105263,2826.997459946816,0.2,75
NoMTD,100,0,0.8653846153846154,3396.4506763871914,0.3,75
NoMTD,100,0,0.8333333333333334,4090.573589741798,0.4,75
NoMTD,100,0,0.872093023255814,4405.78154418494,0.5,75
NoMTD,100,0,0.8653846153846154,5235.474016102253,0.6,75
NoMTD,100,0,0.875,5594.208618929884,0.7,75
NoMTD,100,0,0.821917808219178,6416.894107138543,0.8,75
NoMTD,100,0,0.7142857142857143,2153.4025946077663,0.1,100
NoMTD,100,0,0.8333333333333334,3357.843363345489,0.2,100
NoMTD,100,0,0.8108108108108109,4195.740949474081,0.3,100
NoMTD,100,0,0.8333333333333334,4948.214143325143,0.4,100
NoMTD,100,0,0.847457627118644,5537.55332842059,0.5,100
NoMTD,100,0,0.821917808219178,6254.069647248789,0.6,100
NoMTD,100,0,0.813953488372093,6857.67935422749,0.7,100
NoMTD,100,0,0.8163265306122449,7446.591706276522,0.8,100
NoMTD,200,0,0.5,741.585780542759,0.1,25
NoMTD,200,0,0.5555555555555556,1057.7775105311478,0.2,25
NoMTD,200,0,0.6818181818181818,1299.7623836139005,0.3,25
NoMTD,200,0,0.7142857142857143,1561.0071165788577,0.4,25
NoMTD,200,0,0.7352941176470589,1844.7296532620862,0.5,25
NoMTD,200,0,0.75,1945.3747319832355,0.6,25
NoMTD,200,0,0.7954545454545454,2020.5151158850413,0.7,25
NoMTD,200,0,0.8,2276.484345708241,0.8,25
NoMTD,200,0,0.5555555555555556,1194.2345666852134,0.1,50
NoMTD,200,0,0.7142857142857143,1796.4031702736302,0.2,50
NoMTD,200,0,0.75,2511.4555288066254,0.3,50
NoMTD,200,0,0.7692307692307693,3032.343085242055,0.4,50
NoMTD,200,0,0.8064516129032258,3436.125726271078,0.5,50
NoMTD,200,0,0.7894736842105263,3986.960128703945,0.6,50
NoMTD,200,0,0.813953488372093,4467.265971476906,0.7,50
NoMTD,200,0,0.8163265306122449,4934.2739953016,0.8,50
NoMTD,200,0,0.625,1491.289329034008,0.1,75
NoMTD,200,0,0.7142857142857143,2586.3094701726586,0.2,75
NoMTD,200,0,0.75,3524.116848655867,0.3,75
NoMTD,200,0,0.7317073170731707,4566.876030756674,0.4,75
NoMTD,200,0,0.75,5075.983801267562,0.5,75
NoMTD,200,0,0.7627118644067796,5654.860511530294,0.6,75
NoMTD,200,0,0.7954545454545454,6128.24216412914,0.7,75
NoMTD,200,0,0.7792207792207793,6685.51292824513,0.8,75
NoMTD,200,0,0.7692307692307693,1880.6161145438655,0.1,100
NoMTD,200,0,0.8695652173913043,3121.339179469673,0.2,100
NoMTD,200,0,0.8571428571428571,4160.98074100474,0.3,100
NoMTD,200,0,0.851063829787234,4717.445333695776,0.4,100
NoMTD,200,0,0.8333333333333334,5248.7026259038485,0.5,100
NoMTD,200,0,0.821917808219178,6173.222704434249,0.6,100
NoMTD,200,0,0.8333333333333334,6676.077293688953,0.7,100
NoMTD,200,0,0.8421052631578947,7056.991261469073,0.8,100
NoMTD,100,0,0.625,599.6353545808126,0.1,25
NoMTD,100,0,0.7142857142857143,1195.5311467335596,0.2,25
NoMTD,100,0,0.8333333333333334,1682.1282812531201,0.3,25
NoMTD,100,0,0.8333333333333334,2050.037958951583,0.4,25
NoMTD,100,0,0.8928571428571429,2268.067684200147,0.5,25
NoMTD,100,0,0.8333333333333334,2885.245980190165,0.6,25
NoMTD,100,0,0.875,3097.1638813559057,0.7,25
NoMTD,100,0,0.8695652173913043,3266.5375726161164,0.8,25
NoMTD,100,0,0.45454545454545453,1443.7837517108858,0.1,50
NoMTD,100,0,0.5882352941176471,2228.4350805753957,0.2,50
NoMTD,100,0,0.625,2818.499292840157,0.3,50
NoMTD,100,0,0.625,3403.531169112174,0.4,50
NoMTD,100,0,0.6578947368421053,4169.2749422780425,0.5,50
NoMTD,100,0,0.6976744186046512,4508.57374115643,0.6,50
NoMTD,100,0,0.660377358490566,5129.096281486885,0.7,50
NoMTD,100,0,0.6896551724137931,5376.14623446403,0.8,50
NoMTD,100,0,0.625,1855.346954714109,0.1,75
NoMTD,100,0,0.7142857142857143,2591.4230796534125,0.2,75
NoMTD,100,0,0.8035714285714286,3842.847710217132,0.3,75
NoMTD,100,0,0.8108108108108109,4237.973920012183,0.4,75
NoMTD,100,0,0.8522727272727273,4992.478897606434,0.5,75
NoMTD,100,0,0.8653846153846154,5332.859765155409,0.6,75
NoMTD,100,0,0.8898305084745762,5750.616160146813,0.7,75
NoMTD,100,0,0.8955223880597015,6240.5843570753295,0.8,75
NoMTD,100,0,0.43478260869565216,2851.554167350151,0.1,100
NoMTD,100,0,0.5263157894736842,4035.5610733966305,0.2,100
