Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability,downtime_ratio,agent_time_ratio,mtd_action_ratio
mtd_ai,200,0.005067860801913114,0.25862068965517243,3213.8832662707073,0.05,150,5,0.27406613756613757,0.05844760114496979,0.10299819866296679,0.0,0.3167980796880046,0.0003567406334383,0.8478260869565217
mtd_ai,200,0.005067860801913114,0.36585365853658536,3939.6267588094997,0.1,150,5,0.27406613756613757,0.05844760114496979,0.10299819866296679,0.0,0.3167980796880046,0.0003567406334383,0.8478260869565217
mtd_ai,200,0.005067860801913114,0.4090909090909091,4801.319141539276,0.15,150,5,0.27406613756613757,0.05844760114496979,0.10299819866296679,0.0,0.3167980796880046,0.0003567406334383,0.8478260869565217
mtd_ai,200,0.005067860801913114,0.42857142857142855,5499.001037333575,0.2,150,5,0.27406613756613757,0.05844760114496979,0.10299819866296679,0.0,0.3167980796880046,0.0003567406334383,0.8478260869565217
mtd_ai,200,0.005067860801913114,0.43103448275862066,6119.291749653531,0.25,150,5,0.27406613756613757,0.05844760114496979,0.10299819866296679,0.0,0.3167980796880046,0.0003567406334383,0.8478260869565217
mtd_ai,200,0.005040858598630636,0.234375,3594.4018604762905,0.05,150,5,0.10333333333333333,1.0454852572806046,3.678664100563673,0.0,0.2824278284299133,6.398625046328318e-05,0.8723404255319149
mtd_ai,200,0.005040858598630636,0.3191489361702128,4691.6891281859735,0.1,150,5,0.10333333333333333,1.0454852572806046,3.678664100563673,0.0,0.2824278284299133,6.398625046328318e-05,0.8723404255319149
mtd_ai,200,0.005040858598630636,0.39473684210526316,5449.173344948261,0.15,150,5,0.10333333333333333,1.0454852572806046,3.678664100563673,0.0,0.2824278284299133,6.398625046328318e-05,0.8723404255319149
mtd_ai,200,0.005040858598630636,0.4411764705882353,5907.949587356476,0.2,150,5,0.10333333333333333,1.0454852572806046,3.678664100563673,0.0,0.2824278284299133,6.398625046328318e-05,0.8723404255319149
mtd_ai,200,0.005040858598630636,0.47468354430379744,6408.768570738451,0.25,150,5,0.10333333333333333,1.0454852572806046,3.678664100563673,0.0,0.2824278284299133,6.398625046328318e-05,0.8723404255319149
mtd_ai,200,0.005060867212622077,0.2777777777777778,2262.1169237280783,0.05,150,5,0.14666666666666667,1.8026898077699216,5.554592670812454,0.0,0.3364733588427095,7.312294476778729e-05,0.8
mtd_ai,200,0.005060867212622077,0.35714285714285715,2933.899162747553,0.1,150,5,0.14666666666666667,1.8026898077699216,5.554592670812454,0.0,0.3364733588427095,7.312294476778729e-05,0.8
mtd_ai,200,0.005060867212622077,0.4090909090909091,3823.9431747680337,0.15,150,5,0.14666666666666667,1.8026898077699216,5.554592670812454,0.0,0.3364733588427095,7.312294476778729e-05,0.8
mtd_ai,200,0.005060867212622077,0.45454545454545453,4314.287529011748,0.2,150,5,0.14666666666666667,1.8026898077699216,5.554592670812454,0.0,0.3364733588427095,7.312294476778729e-05,0.8
mtd_ai,200,0.005060867212622077,0.4807692307692308,4847.935445339922,0.25,150,5,0.14666666666666667,1.8026898077699216,5.554592670812454,0.0,0.3364733588427095,7.312294476778729e-05,0.8
mtd_ai,200,0.005044927802475653,0.4166666666666667,1678.6702512546321,0.05,150,5,0.19733333333333333,1.4739365476534159,5.0466261021015715,0.0,0.21163430119725743,0.00016198145488358328,0.6333333333333333
mtd_ai,200,0.005044927802475653,0.4166666666666667,3092.1236902033625,0.1,150,5,0.19733333333333333,1.4739365476534159,5.0466261021015715,0.0,0.21163430119725743,0.00016198145488358328,0.6333333333333333
mtd_ai,200,0.005044927802475653,0.4326923076923077,4380.045195927194,0.15,150,5,0.19733333333333333,1.4739365476534159,5.0466261021015715,0.0,0.21163430119725743,0.00016198145488358328,0.6333333333333333
mtd_ai,200,0.005044927802475653,0.46153846153846156,5243.124857409635,0.2,150,5,0.19733333333333333,1.4739365476534159,5.0466261021015715,0.0,0.21163430119725743,0.00016198145488358328,0.6333333333333333
mtd_ai,200,0.005044927802475653,0.47468354430379744,5810.174985234975,0.25,150,5,0.19733333333333333,1.4739365476534159,5.0466261021015715,0.0,0.21163430119725743,0.00016198145488358328,0.6333333333333333
mtd_ai,200,0.005032776367444513,0.4166666666666667,1363.3716260417245,0.05,150,5,0.11477777777777778,0.6375950091236237,2.6612755616076136,0.0,0.30953698827396736,0.00019348781969541403,0.7884615384615384
mtd_ai,200,0.005032776367444513,0.4411764705882353,2707.2285435750073,0.1,150,5,0.11477777777777778,0.6375950091236237,2.6612755616076136,0.0,0.30953698827396736,0.00019348781969541403,0.7884615384615384
mtd_ai,200,0.005032776367444513,0.4787234042553192,3368.4284872511803,0.15,150,5,0.11477777777777778,0.6375950091236237,2.6612755616076136,0.0,0.30953698827396736,0.00019348781969541403,0.7884615384615384
mtd_ai,200,0.005032776367444513,0.46875,4542.169599630106,0.2,150,5,0.11477777777777778,0.6375950091236237,2.6612755616076136,0.0,0.30953698827396736,0.00019348781969541403,0.7884615384615384
mtd_ai,200,0.005032776367444513,0.44642857142857145,6611.153760955851,0.25,150,5,0.11477777777777778,0.6375950091236237,2.6612755616076136,0.0,0.30953698827396736,0.00019348781969541403,0.7884615384615384
mtd_ai,200,0.005029671090401806,0.2777777777777778,2544.644091043339,0.05,150,5,0.128,0.8370077540730482,3.0987302015631033,0.0,0.37230223158368325,0.00021782841858882115,0.7166666666666667
