Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability,downtime_ratio,agent_time_ratio,mtd_action_ratio
NoMTD,200,0,0.7142857142857143,2561.369400856797,0.1,150,5,0.3585238095238098,0.3213617815629731,1.3404125291077424,0,0.0,0.0,0.0
NoMTD,200,0,0.75,4139.589820554357,0.2,150,5,0.3585238095238098,0.3213617815629731,1.3404125291077424,0,0.0,0.0,0.0
NoMTD,200,0,0.6818181818181818,2971.4640849561106,0.1,150,5,0.3585238095238098,0.12505695553558652,0.5157775670932122,0,0.0,0.0,0.0
NoMTD,200,0,0.7142857142857143,4601.277817769698,0.2,150,5,0.3585238095238098,0.12505695553558652,0.5157775670932122,0,0.0,0.0,0.0
NoMTD,200,0,0.6818181818181818,3025.448416527681,0.1,150,5,0.3585238095238098,0.706375323448645,2.518306088177785,0,0.0,0.0,0.0
NoMTD,200,0,0.7142857142857143,4647.962595155166,0.2,150,5,0.3585238095238098,0.706375323448645,2.518306088177785,0,0.0,0.0,0.0
NoMTD,200,0,0.75,2666.7521024387265,0.1,150,5,0.3585238095238098,0.16342384274659463,0.22382446704202752,0,0.0,0.0,0.0
NoMTD,200,0,0.7692307692307693,4226.531976166328,0.2,150,5,0.3585238095238098,0.16342384274659463,0.22382446704202752,0,0.0,0.0,0.0
NoMTD,200,0,0.6521739130434783,3148.8136692052735,0.1,150,5,0.3585238095238098,0.39040965868295,1.2914859916697137,0,0.0,0.0,0.0
NoMTD,200,0,0.6976744186046512,4505.958053237221,0.2,150,5,0.3585238095238098,0.39040965868295,1.2914859916697137,0,0.0,0.0,0.0
NoMTD,200,0,0.7894736842105263,2671.4174015874996,0.1,150,5,0.3585238095238098,0.44260926036332005,0.9136569493844948,0,0.0,0.0,0.0
NoMTD,200,0,0.7692307692307693,4405.437891689946,0.2,150,5,0.3585238095238098,0.44260926036332005,0.9136569493844948,0,0.0,0.0,0.0
