Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability,downtime_ratio,agent_time_ratio,mtd_action_ratio
mtd_ai,200,0.005062907998079896,0.19736842105263158,2819.7565471453026,0.05,150,5,0.2857142857142857,0.39956728380359113,1.3784078157252542,0.0,0.27847063432135777,0.0001420107787538166,0.7735849056603774
mtd_ai,200,0.005062907998079896,0.2830188679245283,4273.299711955226,0.1,150,5,0.2857142857142857,0.39956728380359113,1.3784078157252542,0.0,0.27847063432135777,0.0001420107787538166,0.7735849056603774
mtd_ai,200,0.005062907998079896,0.3409090909090909,5302.672476690874,0.15,150,5,0.2857142857142857,0.39956728380359113,1.3784078157252542,0.0,0.27847063432135777,0.0001420107787538166,0.7735849056603774
mtd_ai,200,0.005062907998079896,0.38961038961038963,5925.397522998166,0.2,150,5,0.2857142857142857,0.39956728380359113,1.3784078157252542,0.0,0.27847063432135777,0.0001420107787538166,0.7735849056603774
mtd_ai,200,0.005062907998079896,0.4166666666666667,6529.255643145728,0.25,150,5,0.2857142857142857,0.39956728380359113,1.3784078157252542,0.0,0.27847063432135777,0.0001420107787538166,0.7735849056603774
mtd_ai,200,0.005077447132301058,0.26785714285714285,2547.2789185763636,0.05,150,5,0.1740899470899471,9.870358823412895,3.975113041145154,0.0,0.3658395050600762,0.00034814869454463226,0.9
mtd_ai,200,0.005077447132301058,0.36585365853658536,3336.4446281370538,0.1,150,5,0.1740899470899471,9.870358823412895,3.975113041145154,0.0,0.3658395050600762,0.00034814869454463226,0.9
mtd_ai,200,0.005077447132301058,0.4166666666666667,4291.381912350534,0.15,150,5,0.1740899470899471,9.870358823412895,3.975113041145154,0.0,0.3658395050600762,0.00034814869454463226,0.9
mtd_ai,200,0.005077447132301058,0.4411764705882353,4877.9618513531495,0.2,150,5,0.1740899470899471,9.870358823412895,3.975113041145154,0.0,0.3658395050600762,0.00034814869454463226,0.9
mtd_ai,200,0.005077447132301058,0.46875,5375.487996710528,0.25,150,5,0.1740899470899471,9.870358823412895,3.975113041145154,0.0,0.3658395050600762,0.00034814869454463226,0.9
mtd_ai,200,0.005041950094615879,0.35714285714285715,1826.716126485557,0.05,150,5,0.375,1.9033145782324539,0.33086766670696555,-4.580645161290323,0.3108828571754823,0.00016679911443816953,0.7608695652173914
