Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
NoMTD,200,0,0.5769230769230769,1968.9490062636646,0.1,75,5,0.5432698412698413,0.2138125084126246,0.9331127376104106,0
NoMTD,200,0,0.6818181818181818,2679.7680642520413,0.2,75,5,0.5432698412698413,0.2138125084126246,0.9331127376104106,0
NoMTD,200,0,0.5769230769230769,1808.4372427837432,0.1,75,5,0.5432698412698413,0.11563762649363536,0.3157640479540587,0
NoMTD,200,0,0.7142857142857143,2729.895921483757,0.2,75,5,0.5432698412698413,0.11563762649363536,0.3157640479540587,0
NoMTD,200,0,0.625,1747.6171678009428,0.1,75,5,0.5432698412698413,0.2428136005189436,1.0926146235971306,0
NoMTD,200,0,0.7142857142857143,2589.699423114749,0.2,75,5,0.5432698412698413,0.2428136005189436,1.0926146235971306,0
NoMTD,200,0,0.625,1842.6921832639193,0.1,75,5,0.5432698412698413,0.8871286438319717,3.013196682702695,0
NoMTD,200,0,0.75,2472.510546386613,0.2,75,5,0.5432698412698413,0.8871286438319717,3.013196682702695,0
NoMTD,200,0,0.5769230769230769,1868.7227867084973,0.1,75,5,0.5432698412698413,0.8147442057308996,2.304913268264151,0
NoMTD,200,0,0.6818181818181818,2834.355031863983,0.2,75,5,0.5432698412698413,0.8147442057308996,2.304913268264151,0
NoMTD,200,0,0.5357142857142857,1956.8316929362795,0.1,75,5,0.5432698412698413,0.7621647876187129,2.939366284306774,0
NoMTD,200,0,0.6521739130434783,3061.638747249741,0.2,75,5,0.5432698412698413,0.7621647876187129,2.939366284306774,0
NoMTD,200,0,0.5769230769230769,2061.618115186059,0.1,75,5,0.5432698412698413,10.677567818595863,4.229481356417397,0
NoMTD,200,0,0.6818181818181818,2907.732965953791,0.2,75,5,0.5432698412698413,10.677567818595863,4.229481356417397,0
NoMTD,200,0,0.5769230769230769,1773.8898319741952,0.1,75,5,0.5432698412698413,0.8639642208071279,1.262400909714632,0
NoMTD,200,0,0.7142857142857143,2557.0442517035153,0.2,75,5,0.5432698412698413,0.8639642208071279,1.262400909714632,0
NoMTD,200,0,0.6818181818181818,1780.9590578493626,0.1,75,5,0.5432698412698413,0.7929281822468595,3.5257454388002594,0
NoMTD,200,0,0.75,2460.891559795838,0.2,75,5,0.5432698412698413,0.7929281822468595,3.5257454388002594,0
NoMTD,200,0,0.625,1801.4599406487637,0.1,75,5,0.5432698412698413,1.0352190095292606,3.9339164750560447,0
NoMTD,200,0,0.75,2521.5720223919247,0.2,75,5,0.5432698412698413,1.0352190095292606,3.9339164750560447,0
NoMTD,200,0,0.625,1795.6758952574485,0.1,75,5,0.5432698412698413,5.761836153622589,3.053251439324285,0
NoMTD,200,0,0.75,2589.557567135022,0.2,75,5,0.5432698412698413,5.761836153622589,3.053251439324285,0
NoMTD,200,0,0.625,1694.1821983165637,0.1,75,5,0.5432698412698413,0.3373279545750519,1.025191368440512,0
NoMTD,200,0,0.7142857142857143,3014.4270524558933,0.2,75,5,0.5432698412698413,0.3373279545750519,1.025191368440512,0
NoMTD,200,0,0.625,1901.5822194240916,0.1,75,5,0.5432698412698413,0.04563443672865126,0.0991833581870128,0
NoMTD,200,0,0.7142857142857143,2585.3336859368733,0.2,75,5,0.5432698412698413,0.04563443672865126,0.0991833581870128,0
